23
0 0
123456789 987654321
155 845
65434837725470129964989753263388783606851556632156016278626837513978889368245213947369785144 0661830574415343550047426729500202851911493634212067582285491984899034981825593853032405058
734790927541333154712345158193473209761153455544876233480523700983023202216490451992602444718699761 05886940892145307498443811407461299304666311478988172031391689108524763468421882870678206466262
7195763334212472431422599445514752015636726183723596360977165454481683960930531933059452245641979 319234738724688385342581944664950981078339664557839699251510939189392891033739346167011011781369921
6589645055380911762129364207747549693769909444079146704103563610038153234178738513948391780862665 09121749192430937391864680907293031794118317889510651082518305694444615692256860639
159940160217328122767194542343553892445061279019943299114519405101621920639689657014369379233016499 40661298971566803525191675137742360813005085355718741103756577519923165881649764535
9744658563773613002367829855847325500470492217756898865630559107398288417117644240978762734662 74995143175633254012704606243718283203242859209013750436573306850882242297636584065839490892442914
5894675444433105564107010611206971782151141939569670726738324697369242352968311148628869757 03681751297878109905467571796761262477876764300313814412544337051563839531994419693509289
360583582110644298694123884925469670702487630896812099768837433970111411739313826593624869447630901 02232177744517410476681958181751963655413838913066108827480547321471192059164302562898119174952356
099701452885858256984872035602082372337177921612829059790489446612042609514291521702485393270 18440807543161031464340838410738550625952306377491864411786640809121883276513023007959366019
749623970964176874520686130866841886759567496150864180176602354416436103329512591537146456421 962717254113185375723803017591826655407250693271025061847156833803364392563507768972530290516601318
16547642857126389885429146768665357932718465934785041793855348683158107018415200288673788458 15246468482745443500190943143076986769118513403748834613811717980903918670509773937895253
16035728948647411274287260344457961988893458817369189048492941926926732080811550669677630915 057712901537783824732085343073098571550378653784304684005819442587814439773831684135446902
664662918932620824411755304636420291333294307508624991640677353527171475478270806808355088168757533 0127043578011916666956634517014045401132267127177028980881551767065468981258475255669052712
9227279157827047663617058045425253261300642563824677022160014584684606447968901917174664603784 05445459559051819167341210261159338898057616214917471659721393126347870202260209731376
163228101186385639062518646089358667750821387811062343975710204973998215610381331596654483309991281 53703161466227268911163214615589503839849966113482452774618504464141281792418788363310
48298266633335264667575803993915010031672595467601931947040538178087136492729682691520462894418 7034650830976208667396962307068623270905544958199736435409849807080019818549965800047571640397
95746510387963008078270646736338730348123490578203697122894065937578910686717458755860310416163 0031953891746605856506136468936177243582767092733261715177532539107681273932595079188799
94250251111545213343582003015790597860684077493269021407704411868046128755302460512509140780135178 11789875738609841898457227908637822603914557098194862670847347010734102227473338015808032823004647
32341513947710145100035846511512130240631716467041149435212972306712585515140330055621933819702339 8894364519688179845002408834385286045834870103814936246767266586875652431760315427223309204985400
541427797885132733793763631846474766040155313481852492031913444932077156961670911533320261121154 57966858200219651057702445569167210932693202691403128661953921580651239301682473146980026109142524
